policy_w,driver_w,cyclist_w,Traj 0,Traj 1,Traj 2,Traj 3,best_traj_label
0.34,0.32,0.34,0.7456430245155358,0.7396070982461314,0.7279096724808366,0.7231985224680557,Traj 0
0.34,0.34,0.32,0.7537883653626143,0.747722013697801,0.7359197784430735,0.7301484689771245,Traj 0
0.36,0.28,0.36,0.6139117655672237,0.6085981615918113,0.5983005725765808,0.5980994766495392,Traj 0
0.36,0.3,0.34,0.6807530730668037,0.6748974800424937,0.663507727734827,0.6623204249714842,Traj 0
0.36,0.32,0.32,0.7421496620925423,0.7358049375641401,0.7234189009992483,0.7210959270714595,Traj 0
0.36,0.34,0.3,0.6956083243688893,0.6896972423351876,0.6781163413287008,0.6749955485625742,Traj 0
0.36,0.36,0.28,0.6410006379388538,0.6355858485534559,0.6249396957474793,0.6212128389395104,Traj 0
0.38,0.24,0.38,0.49372992900225965,0.4891743625260775,0.4803458251491181,0.4832005759309531,Traj 0
0.38,0.26,0.36,0.5551146808582544,0.5500263146761274,0.5401308037740026,0.5425090560484271,Traj 0
0.38,0.28,0.34,0.6175271629844143,0.6119032526202794,0.6009285431893968,0.6026694411537508,Traj 0
0.38,0.3,0.32,0.6777055003647964,0.6715727834242072,0.6595644158079031,0.6605034600957539,Traj 0
0.38,0.32,0.3,0.6850114524663077,0.6788514455097819,0.6667490691682502,0.6667372049146137,Traj 0
0.38,0.34,0.28,0.6377164242354129,0.6320171006665877,0.6207826076117333,0.6198957657958171,Traj 0
0.38,0.36,0.26,0.585695893621216,0.5804932970455597,0.5702042849559351,0.5686022296645161,Traj 0
0.38,0.38,0.24,0.5322335066699888,0.5275341172897459,0.5182101383600697,0.5160534436282552,Traj 0
0.4,0.2,0.4,0.3848265008980945,0.3810514250222875,0.37373545265207403,0.3783587806923338,Traj 0
0.4,0.22,0.38,0.4402368216157803,0.4359479374063928,0.4276086496814087,0.43220124995035325,Traj 0
0.4,0.24,0.36,0.49788582198112613,0.4930682209562514,0.48367019099075576,0.48809389925871155,Traj 0
0.4,0.26,0.34,0.5567008831219451,0.5513501799920347,0.5408783735709357,0.544982115647201,Traj 0
0.4,0.28,0.32,0.6147443584438408,0.6088746698729827,0.5973503778018906,0.6009716429855682,Traj 0
0.4,0.3,0.3,0.669215736849794,0.6628673868137613,0.6503638610895442,0.6533361037615463,Traj 0
0.4,0.32,0.28,0.6279831776264895,0.622064037925723,0.6103693964603853,0.6122675588827703,Traj 0
0.4,0.34,0.26,0.5809395279740565,0.5754982859253158,0.5647145907767611,0.5656635442500217,Traj 0
0.4,0.36,0.24,0.5307604338038627,0.5258200358227411,0.5159989945499074,0.5161438971610554,Traj 0
0.4,0.38,0.22,0.4794256033891905,0.4749903368241193,0.4661467907401211,0.46563876253504344,Traj 0
0.4,0.4,0.2,0.42812869944334814,0.4241918763137993,0.4163187165396399,0.4153060330252473,Traj 0
0.42,0.16,0.42,0.28693046733217786,0.28394507305379846,0.27815947753907305,0.28343105131371704,Traj 0
0.42,0.18,0.4,0.3363972866022532,0.33292242434476393,0.3261669767725464,0.3317858422355781,Traj 0
0.42,0.2,0.38,0.3884974820506194,0.3845129155253737,0.37674235353184693,0.38259737076890005,Traj 0
0.42,0.22,0.36,0.44275939347646814,0.4382500330296928,0.42942886638514766,0.4353949028420788,Traj 0
0.42,0.24,0.34,0.49837448545268503,0.49333364820914244,0.4834426835553952,0.48937987901047764,Traj 0
0.42,0.26,0.32,0.5540525456488592,0.5484865626773685,0.5375321734261314,0.5432860985446577,Traj 0
0.42,0.28,0.3,0.608010282866685,0.6019430707313629,0.589966528119328,0.5953715686744484,Traj 0
0.42,0.3,0.28,0.6144799089693838,0.6083885307572804,0.5963287407745861,0.6008917250671132,Traj 0
0.42,0.32,0.26,0.5719292067088764,0.5662964488176431,0.5551120331312159,0.5585392156898337,Traj 0
0.42,0.34,0.24,0.5254661805098343,0.5203241473126929,0.5100845825475308,0.5124956497341457,Traj 0
0.42,0.36,0.22,0.4768255950680028,0.4721889867045405,0.4629294760713582,0.4644616151225411,Traj 0
0.42,0.38,0.2,0.42735621111084937,0.4232264950800232,0.41495592165305667,0.41575326853294126,Traj 0
0.42,0.4,0.18,0.3779841987020102,0.3743539963220856,0.367063432650237,0.36726954021665537,Traj 0
0.42,0.42,0.16,0.3293279441462599,0.3261841820327439,0.3198530405449842,0.3196063571123747,Traj 0
0.44,0.12,0.44,0.19977081438195995,0.1975710305939678,0.1933079222637402,0.19827434817513906,Traj 0
0.44,0.14,0.42,0.2434243559014062,0.2407639866936972,0.23559272517525862,0.24121603267950995,Traj 0
0.44,0.16,0.4,0.28985611232265496,0.2867116984310487,0.28058130261451436,0.28677859197329486,Traj 0
0.44,0.18,0.38,0.33882803396091743,0.33517911536486145,0.3280441242127871,0.3347185255965133,Traj 0
0.44,0.2,0.36,0.38994485975579596,0.3857755639250018,0.3775992249758521,0.3846390343331326,Traj 0
0.44,0.22,0.34,0.44258270923207527,0.43788404312383117,0.4286429287063258,0.43592072731494236,Traj 0
0.44,0.24,0.32,0.4958168468870212,0.49058967325090647,0.48027970881833365,0.4876520543163641,Traj 0
0.44,0.26,0.3,0.5484090774636945,0.542667124674774,0.5313097635468869,0.5386188102990097,Traj 0
0.44,0.28,0.28,0.5989567552041576,0.5927279807959324,0.5803731926638275,0.5874521333228693,Traj 0
0.44,0.3,0.26,0.5600663890324752,0.5542808925391792,0.5427735319334777,0.5485653175555643,Traj 0
0.44,0.32,0.24,0.5171220441785985,0.5118152889676884,0.5012311816978403,0.5058305424019465,Traj 0
0.44,0.34,0.22,0.4714190812626618,0.4666127022866992,0.45700053827331366,0.4605251296218233,Traj 0
0.44,0.36,0.2,0.4241924458054707,0.4198952245303129,0.41127820764324086,0.4138605114423868,Traj 0
0.44,0.38,0.18,0.3764386383729246,0.3726492324071833,0.36503028996078246,0.36680947105166367,Traj 0
0.44,0.4,0.16,0.32889904202397297,0.32560879057978537,0.31897601314352836,0.3200916574515583,Traj 0
0.44,0.42,0.14,0.2821120807795312,0.27930720082034105,0.2736381282504177,0.2742260225017265,Traj 0
0.44,0.44,0.12,0.23647296866605244,0.23413609085370812,0.2294007206348976,0.22959016587152542,Traj 0
0.46,0.08,0.46,0.12307652812489099,0.12164502161615295,0.11887080927970045,0.12274563165663616,Traj 0
0.46,0.1,0.44,0.16107856255036715,0.15921963892851554,0.1556067089170983,0.16037935917327734,Traj 0
0.46,0.12,0.42,0.20189720475380324,0.19958508163826655,0.19507849448518658,0.2006948036747437,Traj 0
0.46,0.14,0.4,0.24540743269520343,0.24261826193120897,0.23716648440001703,0.243558519246964,Traj 0
0.46,0.16,0.38,0.2913992985144951,0.28811205914342913,0.2816687623566843,0.28875409233154603,Traj 0
0.46,0.18,0.36,0.33954283035792354,0.3357405830560417,0.32826717447054543,0.3359479911139738,Traj 0
0.46,0.2,0.34,0.3893448780027685,0.3850164555589718,0.37648550294083116,0.38464772944766157,Traj 0
0.46,0.22,0.32,0.4401081588066005,0.43525025065786077,0.4256497283820424,0.4341625242364215,Traj 0
0.46,0.24,0.3,0.4909197859658136,0.4855390782946291,0.47487677682917445,0.48359327532268076,Traj 0
0.46,0.26,0.28,0.5407123894603567,0.5348269699132091,0.5231334976136504,0.5318939687739922,Traj 0
0.46,0.28,0.26,0.5463922809209267,0.5404856452028649,0.5287190873768449,0.5367402904404991,Traj 0
0.46,0.3,0.24,0.5065545620432841,0.5011154535938861,0.49025197296001627,0.4969335221533171,Traj 0
0.46,0.32,0.22,0.4637197037584212,0.4587735991050959,0.4488692572571349,0.454308884897374,Traj 0
0.46,0.34,0.2,0.41890543383995305,0.4144665934754415,0.40555527288709486,0.40987003575795755,Traj 0
0.46,0.36,0.18,0.3730512054017977,0.3691237938398371,0.3612192190519683,0.3645387423830598,Traj 0
0.46,0.38,0.16,0.3269367193308354,0.32351673657917396,0.31661616501394657,0.3190761105724924,Traj 0
0.46,0.4,0.14,0.2811740272550644,0.2782512570748714,0.2723392558912946,0.27407607813975715,Traj 0
0.46,0.42,0.12,0.23623437413607476,0.23379399095441117,0.2288455731573984,0.22999271704140437,Traj 0
0.46,0.44,0.1,0.1924823351916175,0.19050610865784678,0.18648909323876142,0.18717437538403975,Traj 0
0.46,0.46,0.08,0.1502055008900544,0.14867265918382017,0.14554936706817484,0.14589320928458782,Traj 0
0.48,0.04,0.48,0.05657659463842094,0.05588277009371123,0.05453816104057875,0.05670186213824443,Traj 3
0.48,0.06,0.46,0.08910202967692606,0.08801813524561537,0.08591177284676461,0.08914551568132752,Traj 3
0.48,0.08,0.44,0.12442780812765689,0.12292620148451464,0.1200000941717697,0.12427868297893557,Traj 0
0.48,0.1,0.42,0.16249180414832512,0.16054617056641365,0.15674452624221732,0.16202921845278928,Traj 0
0.48,0.12,0.4,0.2031809485646043,0.20076685712922432,0.1960372063183666,0.20227511745398447,Traj 0
0.48,0.14,0.38,0.2463124859472603,0.24340814651288106,0.23770287375986898,0.2448262403435176,Traj 0
0.48,0.16,0.36,0.29160991868226177,0.2881971931600829,0.28147558815814405,0.28940091387855815,Traj 0
0.48,0.18,0.34,0.33867513922033315,0.3347408407864618,0.32697174301738063,0.33559894215320424,Traj 0
0.48,0.2,0.32,0.3869627744308803,0.38250021732382466,0.3736651885958537,0.38287701277501085,Traj 0
0.48,0.22,0.3,0.4357702777557788,0.4307808875114454,0.42087754192676524,0.4305398338171232,Traj 0
0.48,0.24,0.28,0.48426417418143103,0.4787587458220661,0.4678034174170942,0.4777669643030828,Traj 0
